episodes,explored_states,score
10000,4441,-276.2529999999999
20000,7074,-291.38799999999986
30000,8922,-296.50399999999985
40000,10199,-323.8769999999998
50000,11351,-234.9119999999999
60000,12387,-268.8319999999999
70000,13266,-305.26099999999974
80000,14135,-264.80599999999987
90000,14879,-261.43399999999974
100000,15554,-269.55499999999984
110000,16065,-244.77099999999987
120000,16651,-303.7569999999999
130000,17190,-279.91799999999984
140000,17698,-287.1879999999999
150000,18258,-251.78499999999988
160000,18740,-271.7139999999998
