episodes,explored_states,score
10000,349,-7.774000000000001
20000,505,-8.192000000000009
30000,556,-8.857000000000008
40000,608,-8.525000000000007
50000,639,-7.857000000000007
60000,656,-7.970000000000004
70000,674,-8.210000000000004
80000,699,-7.890000000000008
90000,726,-8.060000000000004
100000,742,-8.237000000000005
110000,776,-7.741000000000006
120000,797,-8.129000000000005
130000,812,-8.076000000000008
140000,824,-8.412000000000004
150000,838,-7.9740000000000055
160000,847,-8.530000000000006
170000,866,-7.9720000000000075
180000,886,-8.009000000000007
190000,892,-8.532000000000005
200000,900,-7.8420000000000085
210000,907,-7.979000000000005
220000,914,-8.044000000000008
230000,920,-8.208000000000007
240000,926,-7.319000000000005
250000,928,-8.152000000000008
260000,930,-8.167000000000007
270000,937,-8.070000000000007
280000,944,-8.113000000000005
290000,947,-7.941000000000006
300000,951,-7.935000000000005
310000,952,-8.522000000000007
320000,956,-8.029000000000005
330000,958,-8.631000000000007
340000,962,-8.244000000000009
350000,967,-8.612000000000005
360000,971,-8.200000000000008
370000,977,-7.814000000000008
380000,983,-8.047000000000006
390000,989,-7.663000000000006
400000,999,-8.334000000000005
410000,1000,-7.789000000000007
420000,1004,-8.349000000000002
430000,1013,-7.892000000000003
440000,1020,-8.024000000000008
450000,1023,-8.185000000000008
460000,1027,-7.705000000000009
470000,1030,-7.718000000000004
480000,1036,-7.992000000000007
490000,1040,-7.855000000000003
500000,1045,-7.906000000000007
510000,1047,-8.281000000000004
520000,1048,-7.708000000000006
530000,1052,-7.99600000000001
540000,1058,-8.091000000000006
550000,1059,-8.092000000000008
560000,1060,-7.638000000000006
570000,1063,-7.876000000000008
580000,1071,-8.257000000000007
590000,1074,-8.195000000000006
600000,1078,-8.173000000000009
610000,1083,-8.286000000000007
620000,1084,-7.855000000000005
630000,1089,-8.357000000000005
640000,1091,-8.337000000000007
650000,1093,-7.951000000000002
660000,1095,-7.818000000000005
670000,1097,-7.936000000000008
680000,1102,-8.24600000000001
690000,1107,-7.766000000000006
700000,1110,-7.794000000000003
710000,1112,-7.667000000000005
720000,1112,-8.078000000000007
730000,1114,-8.545000000000007
740000,1117,-8.152000000000005
750000,1119,-8.181000000000004
760000,1119,-8.029000000000007
770000,1119,-8.451000000000008
780000,1122,-8.024000000000006
790000,1128,-7.740000000000005
800000,1129,-8.171000000000006
810000,1131,-8.346000000000005
820000,1133,-7.949000000000003
830000,1135,-7.719000000000009
840000,1139,-7.972000000000008
850000,1141,-8.19300000000001
860000,1148,-7.9770000000000065
870000,1153,-7.801000000000009
880000,1157,-8.126000000000007
890000,1159,-8.096000000000005
900000,1160,-8.31300000000001
910000,1166,-7.938000000000004
920000,1169,-8.054000000000007
930000,1175,-7.871000000000007
940000,1175,-8.034000000000008
950000,1179,-8.037000000000006
960000,1182,-8.315000000000007
970000,1189,-7.872000000000007
980000,1189,-8.000000000000005
990000,1189,-8.104000000000005
1000000,1191,-7.810000000000006
1010000,1193,-8.049000000000005
1020000,1194,-8.027000000000008
1030000,1196,-8.265
1040000,1198,-7.360000000000003
1050000,1204,-8.188000000000008
1060000,1207,-7.779000000000007
1070000,1208,-8.282000000000007
1080000,1211,-7.970000000000006
1090000,1212,-7.991000000000005
1100000,1213,-7.868000000000004
1110000,1213,-7.959000000000004
1120000,1214,-7.397000000000008
1130000,1216,-8.353000000000007
1140000,1217,-7.911000000000006
1150000,1219,-7.988000000000005
1160000,1222,-7.997000000000006
1170000,1223,-7.827000000000005
1180000,1224,-7.730000000000002
1190000,1224,-7.874000000000006
1200000,1225,-7.939000000000006
1210000,1225,-7.943000000000005
1220000,1225,-8.227000000000006
1230000,1227,-7.748000000000007
1240000,1228,-8.130000000000008
1250000,1230,-8.073000000000006
1260000,1231,-7.925000000000007
1270000,1233,-7.242000000000005
1280000,1235,-7.8610000000000095
1290000,1236,-8.389000000000005
1300000,1239,-7.8650000000000055
1310000,1239,-7.992000000000008
1320000,1239,-7.824000000000007
1330000,1241,-7.888000000000009
1340000,1241,-7.843000000000005
1350000,1243,-7.597000000000006
1360000,1243,-8.038000000000006
1370000,1244,-8.187000000000005
1380000,1246,-7.4850000000000065
1390000,1247,-7.947000000000007
1400000,1250,-8.052000000000003
1410000,1251,-8.296000000000006
1420000,1252,-8.089000000000006
1430000,1252,-8.004000000000007
1440000,1254,-7.939000000000008
1450000,1256,-7.725000000000003
1460000,1260,-8.154000000000003
