episodes,explored_states,score
10000,4368,-203.509
20000,8355,-252.52899999999983
30000,10574,-243.0669999999999
40000,11874,-261.9219999999999
50000,12958,-303.61799999999965
60000,13958,-297.1499999999998
70000,14736,-286.3499999999998
80000,15408,-275.3059999999998
90000,15997,-289.11999999999995
100000,16741,-258.59099999999967
110000,17332,-282.93999999999994
120000,17934,-258.1779999999999
130000,18440,-282.28499999999985
140000,18884,-278.5269999999997
150000,19335,-307.1169999999999
160000,19751,-258.1299999999999
170000,20188,-282.2829999999996
180000,20853,-279.7809999999999
190000,21406,-254.89299999999977
200000,21861,-270.7809999999998
210000,22247,-289.62099999999987
220000,22591,-268.72299999999973
230000,22906,-258.42999999999984
240000,23212,-286.30599999999987
250000,23482,-272.00899999999996
260000,23762,-292.6089999999998
270000,24028,-270.085
280000,24291,-272.8849999999999
290000,24554,-266.0159999999998
300000,24819,-272.8699999999997
310000,25090,-274.43199999999985
320000,25389,-299.05799999999994
330000,25660,-288.0910000000001
340000,25890,-283.32099999999986
350000,26133,-299.87899999999973
360000,26350,-272.30599999999976
370000,26544,-267.00799999999987
380000,26738,-288.2019999999998
390000,26928,-266.3029999999998
400000,27121,-274.12099999999987
410000,27306,-281.0999999999998
420000,27477,-298.96699999999976
430000,27665,-265.6569999999998
440000,27840,-258.3379999999999
450000,28039,-281.8849999999998
460000,28213,-250.53299999999987
470000,28419,-242.03099999999995
480000,28636,-281.81799999999976
490000,28803,-268.8649999999997
500000,29003,-255.37599999999986
510000,29174,-228.217
520000,29321,-250.6439999999998
530000,29476,-275.08599999999984
540000,29666,-273.24199999999985
550000,29846,-263.6199999999998
560000,29988,-258.3810000000001
570000,30121,-279.21099999999984
580000,30255,-269.6809999999997
590000,30410,-233.74299999999985
600000,30534,-233.41799999999984
610000,30672,-255.78099999999978
620000,30807,-252.52499999999992
630000,30923,-234.05399999999986
640000,31034,-249.25499999999985
650000,31164,-253.49300000000002
660000,31284,-265.4659999999999
670000,31402,-269.25399999999985
680000,31573,-274.3609999999999
690000,31698,-233.56300000000002
700000,31817,-276.8369999999998
710000,31968,-241.4339999999998
720000,32095,-261.77899999999977
730000,32232,-266.82799999999986
740000,32382,-244.19099999999992
750000,32527,-269.3449999999999
760000,32675,-220.18900000000005
770000,32767,-256.04099999999977
780000,32877,-281.37999999999994
790000,32997,-245.0149999999999
800000,33141,-241.495
810000,33270,-255.74899999999982
820000,33364,-248.16700000000003
830000,33481,-274.7989999999998
840000,33588,-239.07499999999985
850000,33668,-235.08099999999985
860000,33785,-237.7699999999998
870000,33869,-257.981
880000,33980,-249.24099999999984
890000,34060,-273.75399999999985
900000,34150,-255.40299999999985
910000,34261,-252.15999999999985
920000,34344,-251.25499999999988
930000,34428,-254.74099999999999
940000,34506,-267.71199999999993
